year,tone,sentiment
2017,0.508166969147006,positive
2017,2.10084033613445,positive
2017,0.549450549450549,positive
2017,2.11132437619962,positive
2017,0.0,neutral
2017,1.27450980392157,positive
2017,-2.20264317180617,negative
2017,3.77358490566038,positive
2017,0.423728813559322,positive
2017,4.41176470588235,positive
2017,3.14720812182741,positive
2017,1.01626016260163,positive
2017,1.72413793103448,positive
2017,0.72289156626506,positive
2017,2.9126213592233,positive
2017,0.655021834061134,positive
2017,4.00763358778626,positive
2017,-2.07715133531157,negative
2017,3.52941176470588,positive
2017,0.152905198776758,neutral
2017,1.69491525423729,positive
2017,-4.004004004004,negative
2017,0.0,neutral
2017,-2.99785867237687,negative
2017,-0.261096605744125,negative
2017,2.37388724035608,positive
2017,0.494233937397035,positive
2017,-0.454545454545453,negative
2017,1.78571428571429,positive
2017,1.52091254752852,positive
2017,-1.40485312899106,negative
2017,-1.41987829614604,negative
2017,-0.436681222707424,negative
2017,-0.431034482758621,negative
2017,-3.2051282051282,negative
2017,-2.63157894736842,negative
2017,3.40681362725451,positive
2017,2.67379679144385,positive
2017,0.700934579439252,positive
2017,2.67379679144385,positive
2017,4.6242774566474,positive
2017,0.0,neutral
2017,0.0,neutral
2017,0.0,neutral
2017,0.0,neutral
2017,-1.46627565982405,negative
2017,0.0,neutral
2017,2.67379679144385,positive
2017,0.0,neutral
2017,0.0,neutral
2017,3.03030303030303,positive
2017,6.34146341463414,positive
2017,6.34146341463414,positive
2017,0.0,neutral
2017,0.0,neutral
2017,0.0,neutral
2017,-2.89855072463768,negative
2017,0.882352941176471,positive
2017,-2.89855072463768,negative
2017,-6.48148148148148,negative
2017,-2.89855072463768,negative
2017,4.42857142857143,positive
2017,3.44827586206897,positive
2017,1.1378002528445,positive
2017,1.93965517241379,positive
2017,4.97512437810945,positive
2017,4.07830342577488,positive
2017,6.94444444444444,positive
2017,1.56739811912226,positive
2017,0.294117647058824,positive
2017,4.82832618025751,positive
2017,1.39240506329114,positive
2017,1.12219451371571,positive
2017,-2.89179104477612,negative
2017,1.45985401459854,positive
2017,1.42302716688228,positive
2017,2.58620689655172,positive
2017,2.61904761904762,positive
2017,6.12244897959184,positive
2017,-0.147275405007364,neutral
2017,0.0,neutral
2017,1.17647058823529,positive
2017,1.4018691588785,positive
2017,0.22271714922049,positive
2017,0.991325898389095,positive
2018,2.67857142857143,positive
2018,1.95121951219512,positive
2018,1.95272353545735,positive
2018,5.36980749746707,positive
2018,-0.771604938271605,negative
2018,1.30293159609121,positive
2018,5.33596837944664,positive
2018,3.59712230215827,positive
2018,0.0,neutral
2018,4.34782608695652,positive
2018,-0.687285223367697,negative
2018,1.6025641025641,positive
2018,0.994475138121547,positive
2018,-0.596421471172962,negative
2018,0.829875518672199,positive
2018,0.974658869395712,positive
2018,-0.900900900900901,negative
2018,0.804681784930505,positive
2018,-2.00250312891114,negative
2018,-0.596421471172962,negative
2018,1.38888888888889,positive
2018,0.0,neutral
2018,2.5844930417495,positive
2018,0.0,neutral
2018,3.14465408805031,positive
2018,1.51898734177215,positive
2018,1.5748031496063,positive
2018,2.39520958083832,positive
2018,0.0,neutral
2018,0.515463917525773,positive
2018,2.35849056603774,positive
2018,3.125,positive
2018,0.772200772200772,positive
2018,-1.32450331125828,negative
2018,5.0328227571116,positive
2018,0.952380952380952,positive
2018,1.35135135135135,positive
2018,8.70279146141215,positive
2018,3.45781466113416,positive
2018,2.57309941520468,positive
2018,-0.972762645914397,negative
2018,-6.81818181818182,negative
2018,-2.37580993520518,negative
