Data_Status,MSN,StateCode,Year,Data
"2023F","ABICB","AZ","1983",0
"2023F","ABICB","AZ","1984",0
"2023F","ABICB","AZ","1985",0
"2023F","ABICB","AZ","1986",0
"2023F","ABICB","AZ","1987",0
"2023F","ABICB","AZ","1988",0
"2023F","ABICB","AZ","1989",0
"2023F","ABICB","AZ","1990",0
"2023F","ABICB","AZ","1991",0
"2023F","ABICB","AZ","1992",0
"2023F","ABICB","AZ","1993",0
"2023F","ABICB","AZ","1994",0
"2023F","ABICB","AZ","1995",0
"2023F","ABICB","AZ","1996",0
"2023F","ABICB","AZ","1997",0
"2023F","ABICB","AZ","1998",0
"2023F","ABICB","AZ","1999",0
"2023F","ABICB","AZ","2000",0
"2023F","ABICB","AZ","2001",0
"2023F","ABICB","AZ","2002",0
"2023F","ABICB","AZ","2003",0
"2023F","ABICB","AZ","2004",0
"2023F","ABICB","AZ","2005",0
"2023F","ABICB","AZ","2006",0
"2023F","ABICB","AZ","2007",0
"2023F","ABICB","AZ","2008",0
"2023F","ABICB","AZ","2009",0
"2023F","ABICB","AZ","2010",0
"2023F","ABICB","AZ","2011",0
"2023F","ABICB","AZ","2012",0
"2023F","ABICB","AZ","2013",0
"2023F","ABICB","AZ","2014",0
"2023F","ABICB","AZ","2015",0
"2023F","ABICB","AZ","2016",0
"2023F","ABICB","AZ","2017",0
"2023F","ABICB","AZ","2018",0
"2023F","ABICB","AZ","2019",0
"2023F","ABICB","AZ","2020",0
"2023F","ABICB","AZ","2021",0
"2023F","ABICB","AZ","2022",0
"2023F","ABICB","AZ","2023",0
"2023F","ABICB","CA","1960",0
"2023F","ABICB","CA","1961",0
"2023F","ABICB","CA","1962",0
"2023F","ABICB","CA","1963",0
"2023F","ABICB","CA","1964",0
"2023F","ABICB","CA","1965",0
"2023F","ABICB","CA","1966",0
"2023F","ABICB","CA","1967",0
"2023F","ABICB","CA","1968",0
"2023F","ABICB","CA","1969",0
"2023F","ABICB","CA","1970",0
"2023F","ABICB","CA","1971",0
"2023F","ABICB","CA","1972",0
"2023F","ABICB","CA","1973",0
"2023F","ABICB","CA","1974",0
"2023F","ABICB","CA","1975",0
"2023F","ABICB","CA","1976",0
"2023F","ABICB","CA","1977",0
"2023F","ABICB","CA","1978",0
"2023F","ABICB","CA","1979",0
"2023F","ABICB","CA","1980",0
"2023F","ABICB","CA","1981",717
"2023F","ABICB","CA","1982",766
"2023F","ABICB","CA","1983",108
"2023F","ABICB","CA","1984",12
"2023F","ABICB","CA","1985",586
"2023F","ABICB","CA","1986",81
"2023F","ABICB","CA","1987",7
"2023F","ABICB","CA","1988",-157
"2023F","ABICB","CA","1989",15
"2023F","ABICB","CA","1990",33
"2023F","ABICB","CA","1991",-10
"2023F","ABICB","CA","1992",20
"2023F","ABICB","CA","1993",19
"2023F","ABICB","CA","1994",769
"2023F","ABICB","CA","1995",642
"2023F","ABICB","CA","1996",848
"2023F","ABICB","CA","1997",1092
"2023F","ABICB","CA","1998",475
"2023F","ABICB","CA","1999",747
"2023F","ABICB","CA","2000",449
"2023F","ABICB","CA","2001",739
"2023F","ABICB","CA","2002",907
"2023F","ABICB","CA","2003",885
"2023F","ABICB","CA","2004",1251
"2023F","ABICB","CA","2005",1016
"2023F","ABICB","CA","2006",76
"2023F","ABICB","CA","2007",208
"2023F","ABICB","CA","2008",11
"2023F","ABICB","CA","2009",-87
"2023F","ABICB","CA","2010",-27
"2023F","ABICB","CA","2011",1
"2023F","ABICB","CA","2012",0
"2023F","ABICB","CA","2013",-40
"2023F","ABICB","CA","2014",-15
"2023F","ABICB","CA","2015",-36
"2023F","ABICB","CA","2016",-30
"2023F","ABICB","CA","2017",-20
"2023F","ABICB","CA","2018",-159
"2023F","ABICB","CA","2019",-121
"2023F","ABICB","CA","2020",-79
"2023F","ABICB","CA","2021",-81
"2023F","ABICB","CA","2022",-64
"2023F","ABICB","CA","2023",-61
"2023F","ABICB","CO","1960",0
"2023F","ABICB","CO","1961",0
"2023F","ABICB","CO","1962",0
"2023F","ABICB","CO","1963",0
"2023F","ABICB","CO","1964",0
"2023F","ABICB","CO","1965",0
"2023F","ABICB","CO","1966",0
"2023F","ABICB","CO","1967",0
"2023F","ABICB","CO","1968",0
"2023F","ABICB","CO","1969",0
"2023F","ABICB","CO","1970",0
"2023F","ABICB","CO","1971",0
"2023F","ABICB","CO","1972",0
"2023F","ABICB","CO","1973",0
"2023F","ABICB","CO","1974",0
"2023F","ABICB","CO","1975",0
"2023F","ABICB","CO","1976",0
"2023F","ABICB","CO","1977",0
"2023F","ABICB","CO","1978",0
"2023F","ABICB","CO","1979",0
"2023F","ABICB","CO","1980",0
"2023F","ABICB","CO","1981",27
"2023F","ABICB","CO","1982",24
"2023F","ABICB","CO","1983",3
"2023F","ABICB","CO","1984",0
"2023F","ABICB","CO","1985",18
"2023F","ABICB","CO","1986",3
"2023F","ABICB","CO","1987",0
"2023F","ABICB","CO","1988",-5
"2023F","ABICB","CO","1989",1
"2023F","ABICB","CO","1990",1
"2023F","ABICB","CO","1991",0
"2023F","ABICB","CO","1992",1
"2023F","ABICB","CO","1993",1
"2023F","ABICB","CO","1994",35
"2023F","ABICB","CO","1995",30
"2023F","ABICB","CO","1996",39
"2023F","ABICB","CO","1997",50
"2023F","ABICB","CO","1998",21
"2023F","ABICB","CO","1999",33
"2023F","ABICB","CO","2000",20
"2023F","ABICB","CO","2001",33
"2023F","ABICB","CO","2002",40
"2023F","ABICB","CO","2003",39
"2023F","ABICB","CO","2004",54
"2023F","ABICB","CO","2005",48
"2023F","ABICB","CO","2006",4
"2023F","ABICB","CO","2007",10
"2023F","ABICB","CO","2008",1
"2023F","ABICB","CO","2009",-5
"2023F","ABICB","CO","2010",-1
"2023F","ABICB","CO","2011",0
"2023F","ABICB","CO","2012",0
"2023F","ABICB","CO","2013",-2
"2023F","ABICB","CO","2014",-1
"2023F","ABICB","CO","2015",-2
"2023F","ABICB","CO","2016",-2
"2023F","ABICB","CO","2017",-1
"2023F","ABICB","CO","2018",-9
"2023F","ABICB","CO","2019",-7
"2023F","ABICB","CO","2020",-5
"2023F","ABICB","CO","2021",-5
"2023F","ABICB","CO","2022",-4
"2023F","ABICB","CO","2023",-3
"2023F","ABICB","CT","1960",0
"2023F","ABICB","CT","1961",0
"2023F","ABICB","CT","1962",0
"2023F","ABICB","CT","1963",0
"2023F","ABICB","CT","1964",0
"2023F","ABICB","CT","1965",0
"2023F","ABICB","CT","1966",0
"2023F","ABICB","CT","1967",0
"2023F","ABICB","CT","1968",0
"2023F","ABICB","CT","1969",0
"2023F","ABICB","CT","1970",0
"2023F","ABICB","CT","1971",0
"2023F","ABICB","CT","1972",0
"2023F","ABICB","CT","1973",0
"2023F","ABICB","CT","1974",0
"2023F","ABICB","CT","1975",0
"2023F","ABICB","CT","1976",0
"2023F","ABICB","CT","1977",0
"2023F","ABICB","CT","1978",0
"2023F","ABICB","CT","1979",0
"2023F","ABICB","CT","1980",0
"2023F","ABICB","CT","1981",0
"2023F","ABICB","CT","1982",0
"2023F","ABICB","CT","1983",0
"2023F","ABICB","CT","1984",0
"2023F","ABICB","CT","1985",0
"2023F","ABICB","CT","1986",0
"2023F","ABICB","CT","1987",0
"2023F","ABICB","CT","1988",0
"2023F","ABICB","CT","1989",0
"2023F","ABICB","CT","1990",0
"2023F","ABICB","CT","1991",0
"2023F","ABICB","CT","1992",0
"2023F","ABICB","CT","1993",0
"2023F","ABICB","CT","1994",0
"2023F","ABICB","CT","1995",0
"2023F","ABICB","CT","1996",0
"2023F","ABICB","CT","1997",0
"2023F","ABICB","CT","1998",0
"2023F","ABICB","CT","1999",0
"2023F","ABICB","CT","2000",0
"2023F","ABICB","CT","2001",0
"2023F","ABICB","CT","2002",0
"2023F","ABICB","CT","2003",0
"2023F","ABICB","CT","2004",0
"2023F","ABICB","CT","2005",0
"2023F","ABICB","CT","2006",0
"2023F","ABICB","CT","2007",0
"2023F","ABICB","CT","2008",0
"2023F","ABICB","CT","2009",0
"2023F","ABICB","CT","2010",0
"2023F","ABICB","CT","2011",0
"2023F","ABICB","CT","2012",0
"2023F","ABICB","CT","2013",0
"2023F","ABICB","CT","2014",0
"2023F","ABICB","CT","2015",0
"2023F","ABICB","CT","2016",0
"2023F","ABICB","CT","2017",0
"2023F","ABICB","CT","2018",0
"2023F","ABICB","CT","2019",0
"2023F","ABICB","CT","2020",0
"2023F","ABICB","CT","2021",0
"2023F","ABICB","CT","2022",0
"2023F","ABICB","CT","2023",0
"2023F","ABICB","DC","1960",0
"2023F","ABICB","DC","1961",0
"2023F","ABICB","DC","1962",0
"2023F","ABICB","DC","1963",0
"2023F","ABICB","DC","1964",0
"2023F","ABICB","DC","1965",0
"2023F","ABICB","DC","1966",0
"2023F","ABICB","DC","1967",0
"2023F","ABICB","DC","1968",0
"2023F","ABICB","DC","1969",0
"2023F","ABICB","DC","1970",0
"2023F","ABICB","DC","1971",0
"2023F","ABICB","DC","1972",0
"2023F","ABICB","DC","1973",0
"2023F","ABICB","DC","1974",0
"2023F","ABICB","DC","1975",0
"2023F","ABICB","DC","1976",0
"2023F","ABICB","DC","1977",0
"2023F","ABICB","DC","1978",0
"2023F","ABICB","DC","1979",0
"2023F","ABICB","DC","1980",0
"2023F","ABICB","DC","1981",0
"2023F","ABICB","DC","1982",0
"2023F","ABICB","DC","1983",0
"2023F","ABICB","DC","1984",0
"2023F","ABICB","DC","1985",0
"2023F","ABICB","DC","1986",0
"2023F","ABICB","DC","1987",0
"2023F","ABICB","DC","1988",0
"2023F","ABICB","DC","1989",0
"2023F","ABICB","DC","1990",0
"2023F","ABICB","DC","1991",0
"2023F","ABICB","DC","1992",0
"2023F","ABICB","DC","1993",0
"2023F","ABICB","DC","1994",0
"2023F","ABICB","DC","1995",0
"2023F","ABICB","DC","1996",0
"2023F","ABICB","DC","1997",0
"2023F","ABICB","DC","1998",0
"2023F","ABICB","DC","1999",0
"2023F","ABICB","DC","2000",0
"2023F","ABICB","DC","2001",0
"2023F","ABICB","DC","2002",0
"2023F","ABICB","DC","2003",0
"2023F","ABICB","DC","2004",0
"2023F","ABICB","DC","2005",0
"2023F","ABICB","DC","2006",0
"2023F","ABICB","DC","2007",0
"2023F","ABICB","DC","2008",0
"2023F","ABICB","DC","2009",0
"2023F","ABICB","DC","2010",0
"2023F","ABICB","DC","2011",0
"2023F","ABICB","DC","2012",0
"2023F","ABICB","DC","2013",0
"2023F","ABICB","DC","2014",0
"2023F","ABICB","DC","2015",0
"2023F","ABICB","DC","2016",0
