"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","4","2021-08-05 12:08:02","2021-08-05 12:08:02","120.5","0.02","0","59.9","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:03","2021-08-05 12:08:03","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:04","2021-08-05 12:08:04","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:05","2021-08-05 12:08:05","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:06","2021-08-05 12:08:06","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:07","2021-08-05 12:08:07","120.5","0.02","0","59.9","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:08","2021-08-05 12:08:08","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:09","2021-08-05 12:08:09","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:10","2021-08-05 12:08:10","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:11","2021-08-05 12:08:11","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:12","2021-08-05 12:08:12","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:13","2021-08-05 12:08:13","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:14","2021-08-05 12:08:14","120.5","0.02","0","60","171.89","0","33.33","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:15","2021-08-05 12:08:15","120.5","0.02","0","59.9","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:17","2021-08-05 12:08:17","120.5","0.02","0","59.9","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:18","2021-08-05 12:08:18","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:19","2021-08-05 12:08:19","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 12:08:20","2021-08-05 12:08:20","120.5","0.02","0","60","171.89","0","32.78","0","0","0","0","0","0","0","0"
