"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","3","2021-05-05 22:05:58","2021-05-05 22:05:58","120","0.95","98.5","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:58","2021-05-05 22:05:58","120","0.95","98.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:58","2021-05-05 22:05:58","120","0.95","99.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:59","2021-05-05 22:05:59","120","0.95","99.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:00","2021-05-05 22:06:00","120","0.95","99.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:00","2021-05-05 22:06:00","120","0.95","99.6","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:01","2021-05-05 22:06:01","120","0.95","99.6","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:01","2021-05-05 22:06:01","120","0.95","99.6","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:02","2021-05-05 22:06:02","120","0.95","99.6","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:02","2021-05-05 22:06:02","120","0.95","98.2","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:03","2021-05-05 22:06:03","120","0.95","98.2","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:03","2021-05-05 22:06:03","120","0.95","98.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:04","2021-05-05 22:06:04","120","0.95","98.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:05","2021-05-05 22:06:05","120","0.95","98.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:05","2021-05-05 22:06:05","120","0.95","98.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:06","2021-05-05 22:06:06","120","0.95","98.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:06","2021-05-05 22:06:06","120.1","0.94","97.8","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:07","2021-05-05 22:06:07","120.1","0.94","97.8","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:07","2021-05-05 22:06:07","120","0.94","98","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:08","2021-05-05 22:06:08","120","0.94","98","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:08","2021-05-05 22:06:08","120","0.94","98","59.9","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:09","2021-05-05 22:06:09","120","0.94","98","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:09","2021-05-05 22:06:09","120","0.96","99.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:10","2021-05-05 22:06:10","120","0.96","99.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:10","2021-05-05 22:06:10","120.1","0.94","97.6","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:11","2021-05-05 22:06:11","120.1","0.94","97.6","60","0","0.86","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:06:11","2021-05-05 22:06:11","120","0.94","98.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:49","2021-05-05 22:14:49","120","1.09","117.4","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:50","2021-05-05 22:14:50","119.9","1.14","126.1","60","0.02","0.92","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:51","2021-05-05 22:14:51","119.9","1.14","126.1","60","0.02","0.92","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:51","2021-05-05 22:14:51","120","1.01","107.4","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:52","2021-05-05 22:14:52","120","1.01","107.4","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:52","2021-05-05 22:14:52","120","1.03","111.2","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:53","2021-05-05 22:14:53","120","1.03","111.2","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:54","2021-05-05 22:14:54","120","0.98","104.5","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:55","2021-05-05 22:14:55","120","0.98","104.5","60","0.02","0.89","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:14:55","2021-05-05 22:14:55","120","1.04","111.6","60","0.02","0.9","0","0","0","0","0","0","0","0","0"
